id,timestamp,device_ip,sysName,ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label,if_name
57,2025-09-17 16:55:49,192.168.99.1,R1.cisco.local,10713938,9792919,0,35187,0,27640,24103,24066,15305,0,0,10748,37,0,0,2
58,2025-09-17 16:55:49,192.168.99.2,S1.cisco.local,1565106,954351,0,11536,0,8462,309,309,294,2,0,0,0,0,0,10001
59,2025-09-17 16:55:49,192.168.99.3,S2.cisco.local,5493462,5195234,0,18160,0,14073,638,638,478,3,0,0,0,0,0,10001
60,2025-09-17 16:55:49,192.168.99.4,S3.cisco.local,4341771,4510781,0,4734,0,5572,316,316,285,1,0,0,0,0,0,10001
61,2025-09-17 16:56:04,192.168.99.1,R1.cisco.local,10720384,9797017,0,35246,0,27672,24154,24117,15327,0,0,10754,37,0,0,2
62,2025-09-17 16:56:04,192.168.99.2,S1.cisco.local,1568219,957119,0,11564,0,8479,310,310,295,2,0,0,0,0,0,10001
63,2025-09-17 16:56:04,192.168.99.3,S2.cisco.local,5495952,5196688,0,18191,0,14087,639,639,479,3,0,0,0,0,0,10001
64,2025-09-17 16:56:04,192.168.99.4,S3.cisco.local,4341771,4511293,0,4734,0,5573,317,317,286,1,0,0,0,0,0,10001
65,2025-09-17 16:56:19,192.168.99.1,R1.cisco.local,10725448,9800631,0,35288,0,27697,24190,24153,15345,0,0,10760,37,0,0,2
66,2025-09-17 16:56:20,192.168.99.2,S1.cisco.local,1570533,960410,0,11579,0,8492,311,311,296,2,0,0,0,0,0,10001
67,2025-09-17 16:56:20,192.168.99.3,S2.cisco.local,5497966,5198078,0,18216,0,14099,640,640,480,3,0,0,0,0,0,10001
68,2025-09-17 16:56:20,192.168.99.4,S3.cisco.local,4341771,4512392,0,4734,0,5575,318,318,287,1,0,0,0,0,0,10001
69,2025-09-17 16:56:35,192.168.99.1,R1.cisco.local,10731256,9804837,0,35334,0,27731,24228,24191,15369,0,0,10766,37,0,0,2
70,2025-09-17 16:56:35,192.168.99.2,S1.cisco.local,1576708,963007,0,11599,0,8510,312,312,297,2,0,0,0,0,0,10001
71,2025-09-17 16:56:35,192.168.99.3,S2.cisco.local,5499712,5199458,0,18238,0,14112,641,641,481,3,0,0,0,0,0,10001
72,2025-09-17 16:56:35,192.168.99.4,S3.cisco.local,4341771,4512904,0,4734,0,5576,319,319,288,1,0,0,0,0,0,10001
73,2025-09-17 16:56:50,192.168.99.1,R1.cisco.local,10736384,9809405,0,35378,0,27764,24265,24228,15394,0,0,10772,37,0,0,2
74,2025-09-17 16:56:50,192.168.99.2,S1.cisco.local,1579119,965947,0,11619,0,8530,313,313,298,2,0,0,0,0,0,10001
75,2025-09-17 16:56:50,192.168.99.3,S2.cisco.local,5501394,5201308,0,18259,0,14124,642,642,482,3,0,0,0,0,0,10001
76,2025-09-17 16:56:50,192.168.99.4,S3.cisco.local,4341771,4513544,0,4734,0,5578,320,320,289,1,0,0,0,0,0,10001
77,2025-09-17 16:57:05,192.168.99.1,R1.cisco.local,10741494,9813143,0,35420,0,27791,24300,24263,15412,0,0,10778,37,0,0,2
78,2025-09-17 16:57:05,192.168.99.2,S1.cisco.local,1580796,968281,0,11629,0,8541,314,314,299,2,0,0,0,0,0,10001
79,2025-09-17 16:57:05,192.168.99.3,S2.cisco.local,5506534,5202826,0,18288,0,14138,643,643,483,3,0,0,0,0,0,10001
80,2025-09-17 16:57:05,192.168.99.4,S3.cisco.local,4341771,4514056,0,4734,0,5579,321,321,290,1,0,0,0,0,0,10001
81,2025-09-17 16:57:20,192.168.99.1,R1.cisco.local,10745796,9816683,0,35453,0,27815,24327,24290,15429,0,0,10784,37,0,0,2
82,2025-09-17 16:57:20,192.168.99.2,S1.cisco.local,1583283,971599,0,11649,0,8558,315,315,300,2,0,0,0,0,0,10001
83,2025-09-17 16:57:20,192.168.99.3,S2.cisco.local,5507314,5203708,0,18298,0,14144,644,644,484,3,0,0,0,0,0,10001
84,2025-09-17 16:57:20,192.168.99.4,S3.cisco.local,4341771,4515155,0,4734,0,5581,322,322,291,1,0,0,0,0,0,10001
85,2025-09-17 16:57:35,192.168.99.1,R1.cisco.local,10750966,9820823,0,35490,0,27842,24356,24319,15446,0,0,10790,37,0,0,2
