ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label
-0.5804785356168051,-0.48306829503659426,0.0,-0.6026782950994515,0.0,-0.53903763024523,0.44681257479275666,0.49059902560918456,0.12262870525823885,-1.1960999625683568,0.0,-0.35261378939907057,-0.3442236156442802,0.0,0
-0.6075640176592326,-0.5589127846224285,0.0,-0.6072051504453504,0.0,-0.5492017655018087,-0.9045144912592457,-0.9232738627991485,-1.0213829425373337,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5959641136607958,-0.5226234574688803,0.0,-0.6059406965218551,0.0,-0.5462533903892134,-0.8859993069875852,-0.903871811483764,-1.0074693895467601,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285276355227908,0.0,-0.6085201901326673,0.0,-0.5507730710353204,-0.9041205511683592,-0.9228610531966935,-1.0220634967596987,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.580463252479727,-0.4830327955221877,0.0,-0.6026712587338071,0.0,-0.539023379237704,0.4484446123121431,0.49230923681935523,0.12391419656715053,-1.1960999625683568,0.0,-0.35260965541604794,-0.3442236156442802,0.0,0
-0.6075588119330441,-0.5588922223433109,0.0,-0.6072030585528616,0.0,-0.5491954317206861,-0.9044582141034048,-0.9232148899987977,-1.0213073254015153,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.59595866553282,-0.5226110755126476,0.0,-0.605936322564833,0.0,-0.5462465287929972,-0.8859430298317443,-0.9038128386834133,-1.0073937724109419,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285232452446805,0.0,-0.6085201901326673,0.0,-0.5507725432202268,-0.9040642740125183,-0.9228020803963428,-1.0219878796238804,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.580449583383818,-0.4830005372677922,0.0,-0.6026647928842961,0.0,-0.5390091282301781,0.45007664983152956,0.4940194480295259,0.1254265392835172,-1.1960999625683568,0.0,-0.3526055214330253,-0.3442236156442802,0.0,0
-0.6075529233432839,-0.5588692076822802,0.0,-0.6072003961442394,0.0,-0.5491875144942827,-0.9044019369475638,-0.923155917198447,-1.021231708265697,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.595954175187516,-0.5225970300525998,0.0,-0.6059332798121219,0.0,-0.5462412506420616,-0.8858867526759034,-0.9037538658830626,-1.0073181552751236,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994095978850668,-0.5285177573970429,0.0,-0.6085201901326673,0.0,-0.5507714875900397,-0.9040079968566774,-0.9227431075959921,-1.0219122624880619,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
